k, cycles
2, 1970764340
2, 1968144988
2, 1968494350
2, 1970087958
2, 1968633196
2, 1968854218
2, 1968050510
2, 1992212410
2, 1976728622
2, 1973161298
3, 1983254704
3, 1973394108
3, 1973932114
3, 1972530878
3, 1970361520
3, 1970370136
3, 1980883414
3, 1973588812
3, 1974771086
3, 1973169722
4, 1979795820
4, 1989117776
4, 1987026500
4, 1987250868
4, 1993409346
4, 1987111996
4, 1983418716
4, 1982240322
4, 1980886586
4, 1987980454
5, 1981193672
5, 1976497646
5, 1983718156
5, 1979875526
5, 1977362692
5, 1977400404
5, 1978881778
5, 1976708378
5, 1973027528
5, 1977280186
6, 1990675768
6, 1992394268
6, 1991715474
6, 1996086510
6, 1986935374
6, 1988395022
6, 1987715726
6, 1984357648
6, 1984338328
6, 1986270348
7, 1970767474
7, 1968367006
7, 1968464846
7, 1968809070
7, 1969064248
7, 1970496726
7, 1969248926
7, 1969010116
7, 1969188590
7, 1969274172
8, 1980967910
8, 1980827098
8, 1983517588
8, 1983965808
8, 1980012134
8, 1980402912
8, 1980005058
8, 1978654570
8, 1978626242
8, 1979084984
9, 1980152038
9, 1976260242
9, 1976615662
9, 1977504606
9, 1980625620
9, 1977944532
9, 1976235232
9, 1976793744
9, 1977441366
9, 1977248424
10, 1976980800
10, 1976796924
10, 1977003040
10, 1977540762
10, 1977112740
10, 1975835026
10, 1975721716
10, 1975236112
10, 1975983174
10, 1977536886
